MONORTM RESULTS:
----------------
NWN :     101                                                                                                                   Molecular Optical Depths -->
PROF FREQ(GHz)      BT(K)      TMR(K)  RAD(W/cm2_ster_cm-1)   TRANS     PWV     CLW  TBOUND    EMIS    REFL    ANGLE    TOTAL_OD      H2O         CO2          O3         N2O          CO         CH4          O2          NO         SO2         NO2         NH3        HNO3          OH          HF         HCL         HBR          HI         CLO         OCS        H2CO        HOCL          N2        XSEC_OD
    1     5.996    5.62173  258.19376      1.814270716E-13  0.98876  1.4103  0.0000    2.75    1.00    0.00    0.000  1.1301E-02  7.1022E-04  3.6774E-15  4.7651E-08  1.5912E-09  1.0441E-11  0.0000E+00  1.0570E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  2.0952E-05  0.0000E+00
    1     6.296    5.65379  258.33604      2.009354537E-13  0.98864  1.4103  0.0000    2.75    1.00    0.00    0.000  1.1421E-02  7.8495E-04  4.0544E-15  5.8489E-08  1.7550E-09  1.1512E-11  0.0000E+00  1.0613E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  2.3099E-05  0.0000E+00
    1     6.595    5.68733  258.48234      2.215883029E-13  0.98852  1.4103  0.0000    2.75    1.00    0.00    0.000  1.1546E-02  8.6362E-04  4.4497E-15  7.2228E-08  1.9268E-09  1.2636E-11  0.0000E+00  1.0657E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  2.5351E-05  0.0000E+00
    1     6.895    5.72255  258.63287      2.434233866E-13  0.98839  1.4103  0.0000    2.75    1.00    0.00    0.000  1.1678E-02  9.4686E-04  4.8635E-15  8.9897E-08  2.1068E-09  1.3812E-11  0.0000E+00  1.0704E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  2.7708E-05  0.0000E+00
    1     7.195    5.75965  258.78799      2.664828497E-13  0.98825  1.4103  0.0000    2.75    1.00    0.00    0.000  1.1817E-02  1.0353E-03  5.2956E-15  1.1301E-07  2.2949E-09  1.5040E-11  0.0000E+00  1.0751E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  3.0170E-05  0.0000E+00
    1     7.495    5.79880  258.94802      2.908129671E-13  0.98811  1.4103  0.0000    2.75    1.00    0.00    0.000  1.1964E-02  1.1296E-03  5.7461E-15  1.4385E-07  2.4912E-09  1.6322E-11  0.0000E+00  1.0801E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  3.2737E-05  0.0000E+00
    1     7.795    5.84018  259.11319      3.164641113E-13  0.98795  1.4103  0.0000    2.75    1.00    0.00    0.000  1.2119E-02  1.2302E-03  6.2150E-15  1.8603E-07  2.6957E-09  1.7655E-11  0.0000E+00  1.0853E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  3.5408E-05  0.0000E+00
    1     8.094    5.88394  259.28356      3.434905994E-13  0.98779  1.4103  0.0000    2.75    1.00    0.00    0.000  1.2282E-02  1.3377E-03  6.7023E-15  2.4546E-07  2.9083E-09  1.9042E-11  0.0000E+00  1.0906E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  3.8184E-05  0.0000E+00
    1     8.394    5.93020  259.45904      3.719502523E-13  0.98762  1.4103  0.0000    2.75    1.00    0.00    0.000  1.2456E-02  1.4525E-03  7.2080E-15  3.3250E-07  3.1293E-09  2.0481E-11  0.0000E+00  1.0962E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  4.1065E-05  0.0000E+00
    1     8.694    5.97907  259.63944      4.019040886E-13  0.98744  1.4103  0.0000    2.75    1.00    0.00    0.000  1.2639E-02  1.5748E-03  7.7320E-15  4.6658E-07  3.3584E-09  2.1973E-11  0.0000E+00  1.1019E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  4.4050E-05  0.0000E+00
